2,0.02,4.14,0.1742,0.241545893719807,0.0101635977502392,169.27029784,29.19754881
5,0.02,3.65,0.1595,0.273972602739726,0.0119722274347908,191.23363662,34.08147113
7,0.02,3.37,0.1511,0.29673590504451,0.0133046870184645,205.87586247,37.33741934
11,0.02,3.18,0.1454,0.314465408805031,0.0143783869308967,235.16031418,43.84931576
13,0.02,2.88,0.1364,0.347222222222222,0.0164448302469136,249.80254003,47.10526397
15,0.02,2.81,0.1343,0.355871886120996,0.0170083965501957,264.44476588,50.36121218
17,0.02,2.68,0.1304,0.373134328358209,0.0181554912007128,279.08699173,53.61716039
19,0.02,2.54,0.1262,0.393700787401575,0.0195610391220782,293.72921758,56.87310860
21,0.02,2.31,0.1193,0.432900432900433,0.0223571522272821,308.37144343,60.12905681
25,0.02,2.15,0.1145,0.465116279069767,0.0247701460248783,337.65589514,66.64095323
